,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
13,convex,grooves,white,bruises,creosote,free,distant,narrow,green,enlarging,rooted,scaly,scaly,white,cinnamon,partial,orange,one,pendant,buff,several,grasses
14,sunken,fibrous,red,bruises,musty,attached,crowded,broad,brown,enlarging,rooted,fibrous,fibrous,pink,white,partial,white,two,evanescent,black,abundant,grasses
15,sunken,grooves,green,bruises,none,descending,crowded,narrow,black,enlarging,rhizomorphs,smooth,scaly,orange,orange,partial,orange,one,large,brown,several,paths
16,flat,fibrous,white,bruises,fishy,attached,crowded,broad,black,enlarging,equal,fibrous,fibrous,gray,gray,partial,brown,one,evanescent,brown,scattered,grasses
17,convex,fibrous,brown,bruises,pungent,free,close,broad,pink,enlarging,club,smooth,fibrous,buff,white,partial,white,one,evanescent,black,clustered,grasses
18,bell,scaly,white,no,fishy,notched,close,narrow,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,other,sheathing,chocolate,scattered,grasses
19,sunken,grooves,yellow,bruises,musty,descending,close,narrow,chocolate,enlarging,equal,smooth,smooth,white,white,partial,white,other,pendant,purple,scattered,waste
20,conical,smooth,pink,no,almond,notched,crowded,narrow,pink,tapering,club,smooth,smooth,white,white,universal,white,one,sheathing,brown,clustered,meadows
21,convex,scaly,gray,bruises,fishy,descending,close,narrow,chocolate,enlarging,equal,scaly,scaly,white,gray,partial,orange,one,large,brown,scattered,woods
22,conical,scaly,yellow,bruises,anise,descending,crowded,broad,pink,enlarging,club,scaly,smooth,buff,white,partial,white,other,pendant,purple,scattered,woods
23,bell,scaly,white,bruises,almond,attached,crowded,broad,white,enlarging,rhizomorphs,smooth,fibrous,white,white,partial,brown,one,pendant,green,several,woods
24,bell,smooth,white,no,anise,free,close,broad,orange,tapering,bulbous,smooth,smooth,gray,gray,universal,white,one,none,black,abundant,leaves
25,flat,grooves,green,bruises,creosote,descending,distant,narrow,buff,enlarging,equal,scaly,scaly,cinnamon,white,partial,white,two,flaring,brown,numerous,waste
26,flat,scaly,red,bruises,almond,attached,close,broad,brown,enlarging,equal,fibrous,smooth,brown,white,partial,brown,one,pendant,black,scattered,grasses
27,knobbed,scaly,purple,bruises,anise,free,crowded,broad,white,enlarging,club,scaly,smooth,buff,white,partial,orange,one,pendant,brown,several,meadows
28,bell,smooth,green,no,none,free,close,narrow,black,tapering,equal,smooth,smooth,red,white,partial,yellow,one,pendant,black,abundant,urban
29,flat,smooth,yellow,bruises,almond,free,close,narrow,chocolate,tapering,equal,silky,smooth,gray,gray,partial,white,one,pendant,white,several,leaves
30,bell,smooth,pink,bruises,anise,free,close,broad,gray,enlarging,rooted,silky,silky,cinnamon,white,partial,white,two,none,brown,solitary,paths
31,convex,scaly,white,bruises,creosote,free,distant,broad,purple,enlarging,cup,smooth,scaly,gray,gray,partial,white,one,pendant,brown,scattered,leaves
32,knobbed,scaly,green,bruises,foul,free,crowded,broad,white,enlarging,rhizomorphs,smooth,scaly,orange,white,partial,white,one,flaring,green,several,urban
33,flat,scaly,red,bruises,anise,free,close,broad,red,enlarging,rooted,fibrous,fibrous,white,white,partial,white,one,pendant,brown,scattered,paths
34,bell,grooves,brown,bruises,anise,free,close,broad,brown,enlarging,bulbous,smooth,smooth,brown,brown,partial,orange,other,large,brown,abundant,meadows
35,convex,smooth,cinnamon,no,anise,free,distant,narrow,purple,tapering,cup,smooth,smooth,yellow,yellow,partial,white,two,pendant,yellow,numerous,urban
36,sunken,fibrous,gray,no,none,attached,close,broad,black,enlarging,equal,fibrous,fibrous,white,gray,partial,brown,other,pendant,black,abundant,urban
37,sunken,smooth,brown,bruises,pungent,free,distant,narrow,yellow,tapering,rooted,smooth,smooth,cinnamon,white,universal,white,two,pendant,brown,scattered,urban
38,convex,grooves,buff,bruises,fishy,descending,close,narrow,red,tapering,bulbous,scaly,smooth,gray,gray,partial,orange,other,pendant,chocolate,scattered,urban
39,flat,smooth,yellow,no,anise,free,close,narrow,black,enlarging,club,smooth,smooth,white,white,partial,yellow,other,pendant,black,scattered,leaves
40,convex,fibrous,cinnamon,bruises,almond,free,distant,broad,purple,enlarging,cup,smooth,fibrous,cinnamon,white,partial,brown,two,cobwebby,brown,numerous,urban
41,convex,scaly,yellow,no,anise,notched,close,broad,chocolate,enlarging,equal,smooth,scaly,white,brown,universal,yellow,one,pendant,black,solitary,paths
42,convex,fibrous,brown,no,none,descending,distant,broad,green,enlarging,equal,scaly,scaly,yellow,white,partial,white,two,flaring,black,solitary,woods
43,convex,grooves,yellow,bruises,pungent,descending,crowded,broad,pink,enlarging,club,scaly,scaly,white,white,partial,orange,one,flaring,white,several,woods
44,convex,smooth,brown,bruises,foul,notched,crowded,broad,gray,enlarging,rhizomorphs,smooth,smooth,orange,white,universal,white,one,zone,green,numerous,urban
45,convex,smooth,purple,no,fishy,notched,close,broad,black,enlarging,bulbous,smooth,smooth,gray,white,universal,yellow,other,pendant,chocolate,numerous,paths
46,convex,fibrous,yellow,bruises,anise,attached,close,broad,black,enlarging,equal,fibrous,fibrous,white,brown,partial,brown,one,pendant,black,scattered,meadows
47,knobbed,smooth,purple,no,pungent,free,close,narrow,gray,tapering,rhizomorphs,smooth,smooth,white,white,universal,white,one,zone,brown,scattered,grasses
48,bell,scaly,yellow,no,anise,free,close,broad,orange,enlarging,bulbous,smooth,silky,red,white,partial,white,one,pendant,purple,scattered,paths
49,flat,scaly,yellow,no,anise,free,close,narrow,chocolate,tapering,equal,smooth,smooth,white,red,universal,yellow,one,zone,black,scattered,urban
50,convex,smooth,brown,no,almond,free,close,narrow,white,enlarging,bulbous,smooth,scaly,white,brown,partial,white,other,pendant,black,abundant,grasses
51,sunken,smooth,red,no,creosote,free,distant,broad,yellow,enlarging,rooted,smooth,smooth,cinnamon,cinnamon,universal,white,one,none,black,scattered,urban
52,bell,smooth,white,bruises,anise,free,close,broad,orange,tapering,club,silky,smooth,white,brown,universal,white,other,none,black,numerous,meadows
53,convex,scaly,purple,bruises,foul,free,close,narrow,black,enlarging,equal,scaly,smooth,orange,white,partial,orange,one,pendant,brown,scattered,urban
54,sunken,scaly,red,bruises,spicy,free,distant,narrow,green,tapering,equal,silky,smooth,white,white,partial,white,two,pendant,yellow,several,urban
55,conical,fibrous,red,bruises,pungent,free,crowded,broad,white,enlarging,club,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,meadows
56,flat,smooth,pink,no,none,free,close,narrow,brown,tapering,equal,smooth,smooth,gray,white,partial,yellow,other,sheathing,chocolate,abundant,woods
57,bell,smooth,white,bruises,anise,free,crowded,broad,white,enlarging,club,smooth,smooth,buff,white,partial,white,one,evanescent,brown,numerous,urban
58,convex,smooth,yellow,bruises,spicy,free,distant,broad,green,tapering,rooted,smooth,smooth,yellow,yellow,universal,yellow,two,sheathing,yellow,solitary,grasses
59,convex,scaly,brown,bruises,none,descending,close,broad,pink,enlarging,bulbous,smooth,scaly,red,white,partial,white,other,large,purple,abundant,urban
60,knobbed,fibrous,gray,bruises,spicy,descending,distant,broad,purple,enlarging,equal,scaly,scaly,yellow,yellow,partial,white,two,large,brown,several,woods
61,bell,fibrous,yellow,bruises,almond,attached,close,broad,chocolate,enlarging,equal,fibrous,fibrous,red,red,partial,brown,other,pendant,purple,scattered,grasses
62,bell,smooth,brown,bruises,anise,free,crowded,narrow,gray,tapering,club,smooth,smooth,buff,buff,universal,yellow,one,sheathing,brown,scattered,grasses
63,bell,scaly,yellow,bruises,almond,free,close,narrow,gray,enlarging,equal,silky,silky,white,brown,partial,white,other,pendant,brown,scattered,meadows
64,conical,grooves,yellow,bruises,anise,free,close,broad,pink,enlarging,club,smooth,smooth,buff,white,partial,white,one,flaring,brown,scattered,grasses
65,flat,smooth,gray,no,none,notched,close,narrow,black,tapering,equal,smooth,smooth,red,red,partial,white,one,zone,purple,scattered,paths
66,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,bulbous,silky,silky,brown,brown,universal,white,one,none,black,scattered,grasses
67,knobbed,scaly,yellow,no,pungent,free,close,narrow,white,enlarging,rhizomorphs,smooth,silky,white,white,universal,white,one,none,brown,several,woods
68,conical,scaly,yellow,bruises,almond,free,close,narrow,brown,enlarging,club,silky,smooth,white,white,universal,white,one,pendant,green,clustered,waste
69,flat,fibrous,red,bruises,fishy,descending,close,broad,pink,enlarging,equal,smooth,smooth,gray,white,partial,orange,one,large,brown,scattered,urban
70,convex,fibrous,white,bruises,anise,free,distant,narrow,buff,tapering,cup,smooth,silky,white,yellow,universal,white,one,pendant,yellow,numerous,woods
71,bell,grooves,cinnamon,bruises,musty,descending,distant,broad,gray,enlarging,cup,scaly,smooth,white,pink,partial,orange,one,flaring,orange,numerous,waste
72,flat,fibrous,yellow,bruises,none,free,close,narrow,white,tapering,bulbous,smooth,smooth,red,white,partial,yellow,other,sheathing,brown,several,urban
73,convex,scaly,purple,bruises,fishy,free,close,broad,black,enlarging,bulbous,fibrous,fibrous,gray,gray,partial,brown,one,cobwebby,chocolate,abundant,leaves
74,convex,grooves,brown,bruises,musty,free,close,broad,buff,enlarging,cup,smooth,smooth,pink,white,partial,orange,two,pendant,black,scattered,grasses
75,flat,smooth,yellow,bruises,anise,free,close,broad,pink,enlarging,bulbous,scaly,smooth,brown,brown,partial,orange,one,large,black,several,urban
76,bell,smooth,brown,bruises,none,attached,close,narrow,orange,enlarging,bulbous,smooth,fibrous,red,red,partial,white,other,cobwebby,purple,abundant,woods
77,flat,smooth,brown,no,pungent,notched,close,narrow,pink,tapering,club,smooth,scaly,white,white,universal,yellow,one,zone,brown,clustered,leaves
78,knobbed,scaly,green,bruises,pungent,descending,close,narrow,white,enlarging,rhizomorphs,scaly,smooth,buff,buff,partial,orange,one,pendant,brown,several,leaves
79,flat,scaly,buff,bruises,fishy,attached,close,broad,brown,enlarging,equal,fibrous,fibrous,white,gray,partial,white,other,pendant,brown,solitary,grasses
80,convex,scaly,brown,no,none,free,close,narrow,black,tapering,equal,fibrous,smooth,red,white,universal,white,one,evanescent,purple,scattered,grasses
81,convex,fibrous,cinnamon,bruises,almond,attached,close,narrow,orange,enlarging,bulbous,smooth,smooth,white,brown,partial,brown,other,evanescent,black,abundant,grasses
82,flat,fibrous,buff,no,none,free,close,narrow,black,enlarging,bulbous,scaly,smooth,gray,gray,partial,white,one,large,chocolate,solitary,paths
83,conical,fibrous,pink,no,none,descending,crowded,broad,brown,enlarging,club,smooth,scaly,white,white,partial,orange,one,evanescent,white,scattered,grasses
84,convex,scaly,yellow,bruises,musty,free,distant,broad,buff,enlarging,cup,smooth,scaly,pink,white,partial,white,one,pendant,black,scattered,woods
85,knobbed,smooth,white,bruises,foul,descending,crowded,broad,black,enlarging,equal,smooth,smooth,white,orange,partial,white,one,large,green,several,waste
86,bell,smooth,red,no,almond,free,close,broad,white,enlarging,club,smooth,silky,white,brown,partial,white,one,pendant,black,scattered,urban
87,conical,fibrous,white,bruises,pungent,attached,crowded,broad,brown,enlarging,club,fibrous,smooth,white,white,partial,white,one,evanescent,white,clustered,woods
88,flat,smooth,red,no,musty,free,distant,narrow,white,enlarging,rooted,smooth,scaly,pink,pink,universal,yellow,two,zone,black,solitary,grasses
89,bell,fibrous,cinnamon,no,almond,descending,close,broad,brown,enlarging,bulbous,scaly,smooth,white,white,partial,orange,one,large,yellow,numerous,urban
90,bell,grooves,brown,no,fishy,free,close,narrow,brown,enlarging,bulbous,scaly,smooth,gray,gray,partial,white,one,flaring,chocolate,solitary,grasses
91,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,fibrous,fibrous,gray,white,partial,brown,other,pendant,chocolate,abundant,grasses
92,convex,scaly,yellow,no,almond,notched,distant,broad,gray,tapering,cup,smooth,smooth,cinnamon,white,partial,yellow,one,pendant,black,scattered,woods
93,knobbed,fibrous,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,fibrous,buff,white,partial,brown,one,pendant,brown,several,meadows
94,convex,smooth,yellow,no,creosote,notched,distant,narrow,yellow,tapering,equal,smooth,smooth,white,white,partial,white,two,zone,buff,solitary,grasses
95,convex,smooth,red,bruises,anise,descending,crowded,broad,gray,enlarging,club,scaly,scaly,buff,buff,partial,orange,one,pendant,brown,clustered,waste
96,sunken,scaly,pink,no,anise,free,distant,narrow,pink,enlarging,rooted,silky,silky,white,white,universal,white,two,none,brown,scattered,leaves
97,sunken,smooth,buff,no,almond,free,close,narrow,brown,tapering,rooted,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,grasses
98,knobbed,fibrous,white,bruises,almond,attached,close,broad,purple,enlarging,cup,smooth,fibrous,pink,pink,partial,brown,two,evanescent,brown,scattered,waste
99,knobbed,scaly,cinnamon,no,pungent,free,close,narrow,white,tapering,rhizomorphs,smooth,smooth,white,white,universal,white,one,zone,black,several,urban
100,convex,smooth,brown,no,none,notched,crowded,narrow,pink,tapering,equal,fibrous,smooth,yellow,white,universal,white,one,zone,black,numerous,woods
101,bell,scaly,brown,no,almond,free,close,narrow,black,tapering,bulbous,silky,silky,brown,white,universal,white,other,none,black,abundant,paths
102,knobbed,scaly,yellow,bruises,anise,attached,close,broad,white,enlarging,rooted,fibrous,scaly,white,white,partial,brown,one,cobwebby,brown,several,grasses
103,conical,scaly,buff,no,anise,free,crowded,narrow,brown,enlarging,club,silky,scaly,buff,white,universal,white,one,pendant,brown,solitary,urban
104,conical,scaly,white,no,anise,free,distant,narrow,yellow,enlarging,club,smooth,smooth,white,white,partial,yellow,one,pendant,brown,solitary,leaves
105,convex,scaly,yellow,bruises,almond,attached,close,broad,brown,enlarging,club,fibrous,smooth,white,orange,partial,brown,one,evanescent,green,numerous,meadows
106,convex,scaly,yellow,bruises,almond,free,close,narrow,gray,enlarging,rooted,smooth,smooth,white,white,universal,yellow,one,zone,brown,several,grasses
107,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,red,white,universal,white,other,pendant,black,abundant,meadows
108,bell,smooth,brown,no,none,notched,close,narrow,gray,enlarging,club,smooth,smooth,white,red,partial,white,other,zone,brown,scattered,meadows
109,convex,scaly,yellow,no,spicy,free,distant,narrow,black,tapering,cup,smooth,silky,white,yellow,universal,white,one,pendant,yellow,numerous,paths
110,convex,smooth,pink,bruises,anise,notched,close,narrow,black,enlarging,bulbous,smooth,smooth,white,white,universal,yellow,other,sheathing,black,abundant,paths
111,sunken,fibrous,gray,no,fishy,free,close,narrow,gray,enlarging,equal,fibrous,smooth,white,white,partial,brown,other,pendant,black,solitary,waste
112,bell,fibrous,purple,bruises,none,notched,close,narrow,white,tapering,bulbous,smooth,smooth,white,red,universal,yellow,one,zone,purple,several,woods
113,bell,smooth,purple,bruises,almond,attached,close,broad,brown,enlarging,club,fibrous,fibrous,white,white,partial,brown,other,evanescent,purple,abundant,waste
114,convex,scaly,white,bruises,creosote,attached,distant,broad,buff,enlarging,cup,smooth,fibrous,white,cinnamon,partial,white,one,pendant,brown,numerous,leaves
115,conical,scaly,yellow,bruises,pungent,free,crowded,broad,brown,enlarging,rooted,silky,silky,white,white,universal,white,one,none,brown,scattered,grasses
116,convex,fibrous,gray,no,spicy,free,distant,broad,pink,enlarging,cup,smooth,scaly,yellow,white,partial,white,two,large,white,clustered,leaves
117,flat,smooth,yellow,no,none,free,close,narrow,chocolate,tapering,equal,smooth,smooth,red,white,universal,yellow,one,zone,purple,solitary,woods
118,convex,fibrous,green,bruises,anise,free,distant,broad,purple,enlarging,bulbous,smooth,smooth,yellow,yellow,partial,brown,two,pendant,purple,numerous,grasses
119,sunken,fibrous,buff,no,creosote,attached,close,broad,yellow,enlarging,equal,fibrous,smooth,cinnamon,cinnamon,partial,brown,one,evanescent,brown,solitary,urban
120,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,cup,smooth,fibrous,white,yellow,partial,brown,two,evanescent,black,several,grasses
121,knobbed,smooth,white,no,almond,free,crowded,narrow,gray,enlarging,club,smooth,smooth,white,white,universal,yellow,one,sheathing,brown,several,meadows
122,flat,scaly,brown,no,pungent,free,close,narrow,chocolate,enlarging,equal,smooth,smooth,gray,gray,partial,white,one,none,chocolate,several,grasses
123,flat,scaly,gray,no,none,free,crowded,broad,white,tapering,equal,silky,silky,white,white,partial,white,one,evanescent,white,abundant,paths
124,convex,smooth,white,bruises,musty,free,distant,broad,purple,enlarging,cup,fibrous,smooth,pink,pink,partial,white,two,pendant,brown,numerous,meadows
125,conical,smooth,yellow,no,none,notched,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,white,clustered,grasses
126,knobbed,smooth,cinnamon,no,anise,free,close,narrow,gray,enlarging,club,smooth,smooth,buff,white,universal,yellow,one,pendant,brown,several,grasses
127,flat,scaly,gray,no,spicy,free,crowded,broad,buff,tapering,cup,silky,smooth,yellow,yellow,partial,white,two,pendant,brown,abundant,grasses
128,convex,scaly,white,no,spicy,free,close,narrow,purple,tapering,club,smooth,silky,yellow,yellow,universal,white,two,pendant,yellow,numerous,waste
129,bell,smooth,white,bruises,creosote,free,close,narrow,purple,tapering,cup,smooth,smooth,cinnamon,cinnamon,universal,white,two,pendant,buff,numerous,urban
130,bell,smooth,yellow,bruises,musty,attached,distant,broad,white,enlarging,club,fibrous,fibrous,pink,pink,partial,brown,two,cobwebby,brown,scattered,grasses
131,bell,scaly,purple,bruises,anise,attached,close,broad,black,enlarging,bulbous,smooth,smooth,gray,gray,partial,white,other,pendant,brown,abundant,woods
132,flat,smooth,pink,bruises,anise,descending,crowded,narrow,pink,enlarging,club,scaly,scaly,white,buff,partial,white,one,pendant,purple,clustered,leaves
133,convex,scaly,green,bruises,creosote,attached,distant,broad,gray,enlarging,cup,fibrous,fibrous,white,cinnamon,partial,white,two,cobwebby,buff,numerous,urban
134,sunken,smooth,white,bruises,almond,free,distant,narrow,yellow,tapering,bulbous,smooth,scaly,white,white,partial,white,one,pendant,brown,clustered,woods
135,convex,fibrous,white,bruises,pungent,free,close,broad,pink,enlarging,equal,fibrous,fibrous,orange,orange,partial,white,one,cobwebby,green,several,urban
136,knobbed,fibrous,white,no,anise,free,crowded,narrow,white,tapering,rhizomorphs,silky,silky,buff,white,partial,white,one,pendant,brown,several,woods
137,convex,grooves,buff,bruises,anise,descending,close,broad,pink,enlarging,club,scaly,scaly,white,buff,partial,orange,one,pendant,brown,scattered,grasses
138,convex,smooth,brown,bruises,pungent,attached,close,narrow,buff,enlarging,cup,smooth,smooth,yellow,white,partial,white,two,evanescent,yellow,numerous,waste
139,convex,grooves,yellow,bruises,anise,descending,close,broad,purple,enlarging,club,smooth,scaly,yellow,yellow,partial,orange,two,large,brown,numerous,grasses
140,convex,scaly,gray,bruises,foul,free,close,narrow,white,enlarging,rooted,silky,scaly,orange,orange,partial,white,one,none,green,clustered,paths
141,flat,scaly,yellow,no,anise,free,close,broad,red,tapering,club,smooth,smooth,brown,white,partial,white,one,none,black,scattered,meadows
142,sunken,grooves,brown,bruises,creosote,descending,close,broad,black,enlarging,equal,smooth,scaly,white,cinnamon,partial,orange,two,large,brown,several,woods
143,flat,grooves,buff,bruises,almond,free,close,broad,chocolate,enlarging,equal,smooth,scaly,red,white,partial,orange,other,flaring,black,scattered,paths
144,flat,scaly,yellow,bruises,almond,notched,close,broad,black,enlarging,club,smooth,smooth,white,white,universal,yellow,other,pendant,black,numerous,woods
145,conical,fibrous,gray,no,pungent,free,crowded,broad,brown,tapering,club,scaly,scaly,white,white,partial,white,one,evanescent,white,clustered,grasses
146,flat,scaly,buff,no,fishy,free,crowded,broad,black,tapering,equal,silky,fibrous,gray,gray,partial,white,other,evanescent,brown,abundant,urban
147,convex,smooth,purple,no,fishy,free,close,narrow,white,tapering,club,smooth,smooth,white,red,partial,yellow,other,sheathing,purple,numerous,woods
148,bell,smooth,pink,no,musty,free,close,narrow,yellow,enlarging,club,smooth,smooth,pink,white,universal,yellow,one,sheathing,black,solitary,waste
149,bell,grooves,red,bruises,almond,free,close,broad,gray,enlarging,club,scaly,scaly,brown,white,partial,orange,other,flaring,black,numerous,meadows
150,knobbed,scaly,brown,bruises,anise,free,crowded,broad,white,enlarging,rhizomorphs,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
151,conical,smooth,brown,bruises,none,descending,crowded,broad,brown,tapering,club,fibrous,scaly,buff,white,partial,white,one,large,brown,clustered,paths
152,convex,fibrous,white,bruises,anise,attached,distant,broad,green,enlarging,club,fibrous,smooth,cinnamon,cinnamon,partial,brown,two,cobwebby,brown,solitary,paths
153,convex,fibrous,brown,no,spicy,free,distant,broad,buff,enlarging,equal,fibrous,smooth,yellow,white,partial,white,one,cobwebby,yellow,several,urban
154,knobbed,smooth,purple,bruises,pungent,descending,crowded,broad,gray,enlarging,rhizomorphs,scaly,smooth,white,white,partial,white,one,pendant,white,several,woods
155,convex,grooves,purple,bruises,fishy,descending,close,broad,black,enlarging,bulbous,smooth,scaly,gray,white,partial,orange,other,flaring,black,abundant,meadows
156,bell,grooves,yellow,bruises,foul,descending,crowded,broad,pink,enlarging,club,smooth,smooth,white,orange,partial,orange,one,pendant,green,numerous,grasses
157,convex,scaly,red,bruises,creosote,descending,distant,broad,black,enlarging,rooted,smooth,scaly,cinnamon,cinnamon,partial,white,two,pendant,buff,solitary,grasses
158,sunken,scaly,buff,bruises,spicy,descending,distant,broad,green,enlarging,rooted,scaly,smooth,yellow,white,partial,white,two,large,yellow,solitary,meadows
159,flat,grooves,red,bruises,none,descending,close,broad,red,enlarging,club,scaly,scaly,red,white,partial,white,other,pendant,black,scattered,grasses
160,bell,fibrous,yellow,bruises,anise,attached,close,broad,gray,enlarging,club,fibrous,fibrous,brown,brown,partial,white,one,evanescent,black,abundant,grasses
161,conical,scaly,red,no,anise,free,crowded,broad,brown,tapering,equal,smooth,smooth,brown,white,partial,brown,one,pendant,black,numerous,paths
162,convex,fibrous,brown,no,none,free,close,broad,purple,enlarging,equal,smooth,smooth,white,white,partial,white,one,large,brown,numerous,urban
163,flat,scaly,pink,bruises,pungent,free,crowded,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,flaring,white,clustered,grasses
164,convex,scaly,white,bruises,musty,free,distant,narrow,purple,enlarging,club,smooth,silky,pink,pink,partial,white,one,none,orange,scattered,paths
165,flat,scaly,yellow,bruises,anise,free,close,broad,orange,enlarging,rooted,scaly,scaly,gray,white,partial,white,one,pendant,chocolate,abundant,paths
166,sunken,smooth,red,no,creosote,free,distant,broad,yellow,enlarging,club,smooth,smooth,white,white,universal,yellow,one,zone,brown,solitary,leaves
167,convex,smooth,green,bruises,almond,free,distant,broad,purple,enlarging,cup,scaly,scaly,cinnamon,white,partial,white,one,pendant,black,numerous,meadows
168,convex,smooth,pink,bruises,anise,notched,close,broad,white,tapering,rooted,smooth,smooth,white,white,partial,white,other,pendant,black,scattered,grasses
169,convex,smooth,white,bruises,almond,free,distant,narrow,buff,enlarging,club,silky,smooth,cinnamon,white,universal,white,two,none,buff,scattered,grasses
170,knobbed,fibrous,gray,bruises,none,attached,close,narrow,gray,enlarging,rhizomorphs,smooth,fibrous,white,yellow,partial,brown,two,cobwebby,yellow,solitary,paths
171,bell,smooth,yellow,no,anise,notched,close,narrow,black,tapering,club,smooth,smooth,brown,white,partial,yellow,other,zone,brown,scattered,woods
172,convex,fibrous,yellow,no,musty,free,crowded,narrow,purple,tapering,cup,silky,smooth,pink,pink,universal,white,one,pendant,orange,several,grasses
173,bell,scaly,yellow,no,none,free,close,broad,black,tapering,club,silky,silky,red,white,partial,white,other,pendant,black,abundant,grasses
174,flat,scaly,yellow,bruises,anise,free,distant,broad,pink,enlarging,rooted,scaly,scaly,yellow,white,partial,orange,one,pendant,yellow,scattered,grasses
175,sunken,scaly,white,bruises,creosote,free,distant,narrow,white,enlarging,rooted,smooth,smooth,white,white,universal,white,two,pendant,black,solitary,meadows
176,bell,scaly,white,no,almond,free,distant,narrow,green,tapering,rooted,smooth,smooth,cinnamon,white,partial,yellow,two,zone,buff,solitary,urban
177,knobbed,grooves,yellow,bruises,almond,descending,close,broad,gray,enlarging,club,scaly,scaly,orange,white,partial,white,one,flaring,brown,several,grasses
178,flat,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,equal,smooth,fibrous,white,brown,partial,brown,other,pendant,black,scattered,meadows
179,bell,scaly,gray,no,musty,free,close,broad,yellow,tapering,rooted,silky,silky,pink,pink,universal,white,one,pendant,orange,numerous,grasses
180,knobbed,smooth,white,no,pungent,notched,close,narrow,pink,enlarging,rhizomorphs,smooth,smooth,white,orange,partial,yellow,one,zone,green,several,woods
181,sunken,fibrous,red,bruises,foul,free,close,broad,brown,enlarging,equal,smooth,smooth,orange,white,partial,orange,one,large,brown,clustered,woods
182,flat,fibrous,brown,bruises,none,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,cinnamon,partial,orange,one,large,black,solitary,urban
183,convex,fibrous,yellow,bruises,creosote,attached,distant,broad,purple,enlarging,club,smooth,fibrous,cinnamon,white,partial,white,two,pendant,buff,numerous,paths
184,flat,fibrous,brown,bruises,almond,free,crowded,broad,pink,enlarging,rhizomorphs,smooth,fibrous,buff,buff,partial,white,one,evanescent,brown,several,woods
185,convex,smooth,white,no,creosote,notched,close,narrow,black,enlarging,equal,smooth,smooth,white,cinnamon,universal,yellow,two,zone,black,numerous,waste
